"region","departamento","municipio","vigencia","tipoentidad","entidad","sector","fuentefinanciacion","valorcomprometido","valorobligado","valorpagado"
"Andina","Quindio","Todo el Depto","2020","Departamento","Quindio","Planeación","Propios de las entidades territoriales","153233333.00000000","116085333.00000000","116085333.00000000"
"Amazonas","Vaupés","Todo el Depto","2009","Entidades Presupuesto Nacional - PGN","Fondo Nacional de Regalias - Planeación","Planeación","PGN - Presupuesto General de la Nación","991434096.00000000","379560453.00000000","379560453.00000000"
"Andina","Santander","Bucaramanga","2025","Municipio","BucaramangaSantander","Transporte","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Amazonas","Caquetá","Todo el Depto","2008","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","44281513.00000000","41457261.00000000","41457261.00000000"
"Nacional","Nacional","Nacional","2023","Entidades Presupuesto Nacional - PGN","Departamento Nacional de Planeacion - DNP - Planeación","Planeación","PGN - Presupuesto General de la Nación","669116750.00000000","558324512.00000000","549070902.00000000"
"Orinoquía","Casanare","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","5499999999.60000000","5475326289.71000000","5475326289.71000000"
"Nacional","Nacional","Nacional","2015","Entidades Presupuesto Nacional - PGN","Fiscalia General de la Nacion - Fiscalia","Fiscalía","PGN - Presupuesto General de la Nación","15847278665.00000000","10394417137.00000000","3161011792.00000000"
"Andina","Boyacá","Somondoco","2017","Municipio","SomondocoBoyacá","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","184936310.80000000"
"Andina","Tolima","Armero","2019","Municipio","ArmeroTolima","Empleo Público","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","Medellín","2022","Municipio","MedellínAntioquia","Cultura","Propios de las entidades territoriales","1047234292.00000000","693284302.00000000","693284302.00000000"
"Orinoquía","Meta","Todo el Depto","2016","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","9090909.00000000","9090909.00000000","9090909.00000000"
"Caribe","Sucre","Todo el Depto","2012","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Pacífico","Cauca","Miranda","2022","Entidades Presupuesto Nacional - PGN","Unidad de Atención y Reparación Integral a las Victimas - Inclusión Social y Reconciliación","Gobierno Territorial","PGN - Presupuesto General de la Nación","293159543.49000000","293159543.00000000","293159543.00000000"
"Nacional","Nacional","Nacional","2025","Entidades Presupuesto Nacional - PGN","Corporación Autónoma Regional del Río Grande de la Magdalena - Cormagdalena - Transporte","Transporte","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Pacífico","Chocó","Atrato","2023","Municipio","AtratoChocó","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2012","Privada","Comunidadbeneficiada","Transporte","Propios de los privados","0.00000000","0.00000000","0.00000000"
"Andina","Cundinamarca","Fusagasugá","2022","Municipio","FusagasugáCundinamarca","Educación","Propios de las entidades territoriales","208930122.00000000","195626854.00000000","195626854.00000000"
"Andina","Santander","Aratoca","2023","Municipio","AratocaSantander","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Amazonas","Putumayo","Colón","2021","Municipio","ColónPutumayo","Gobierno Territorial","SGR - Sistema General de Regalías","0.00000000","0.00000000","12416778.33000000"
"Andina","Bogotá, D.C.","Bogotá, D.C.","2018","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","38246608345.00000000","38246608345.00000000","38246608345.00000000"
"Andina","Boyacá","Miraflores","2021","Municipio","MirafloresBoyacá","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Bucaramanga","2025","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","27512062696.00000000","124319245.67000000","119585762.67000000"
"Caribe","Magdalena","Santa Marta","2014","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","51064784.00000000","51064784.00000000","51064784.00000000"
"Orinoquía","Casanare","Chámeza","2025","Municipio","ChámezaCasanare","Gobierno Territorial","SGP - Sistema General de Participaciones","155200000.00000000","0.00000000","0.00000000"
"Caribe","Bolívar","Todo el Depto","2011","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","541814000.00000000","541814000.00000000","398407000.00000000"
"Andina","Quindio","Todo el Depto","2008","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","244775500.00000000","244775500.00000000","244775500.00000000"
"Amazonas","Putumayo","Todo el Depto","2018","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","2051751.00000000","2051751.00000000","2051751.00000000"
"Caribe","Córdoba","Montería","2022","Municipio","MonteríaCórdoba","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Risaralda","Apía","2020","Municipio","ApíaRisaralda","Transporte","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Amazonas","Amazonas","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","1048740958.75000000","1000358973.75000000","1000358973.75000000"
"Pacífico","Nariño","Santacruz","2023","Municipio","SantacruzNariño","Gobierno Territorial","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Amazonas","Caquetá","Todo el Depto","2010","Entidades Presupuesto Nacional - PGN","Fondo Rotatorio de la Registraduria - Registraduría","Registraduría","PGN - Presupuesto General de la Nación","114011616.00000000","114011616.00000000","114011616.00000000"
"Andina","Boyacá","Chivatá","2019","Municipio","ChivatáBoyacá","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","Valdivia","2019","Municipio","ValdiviaAntioquia","Gobierno Territorial","SGR - Sistema General de Regalías","0.00000000","0.00000000","27360000.00000000"
"Andina","Santander","Chipatá","2021","Municipio","ChipatáSantander","Educación","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Andina","Huila","Pitalito","2019","Municipio","PitalitoHuila","Transporte","SGP - Sistema General de Participaciones","0.00000000","0.00000000","0.00000000"
"Orinoquía","Arauca","Tame","2022","Municipio","TameArauca","Gobierno Territorial","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Nacional","Nacional","Nacional","2023","Empresa pública","Corporaciones Autónomas Regionales","Gobierno Territorial","Propios de las EICE y SEM","0.00000000","0.00000000","0.00000000"
"Andina","Antioquia","Itagüí","2023","Municipio","ItagüíAntioquia","Cultura","Propios de las entidades territoriales","1040490900.05000000","1040490900.05000000","1040490900.05000000"
"Amazonas","Vaupés","Todo el Depto","2022","Entidades Presupuesto Nacional - PGN","Ministerio del Interior - Interior","Interior","PGN - Presupuesto General de la Nación","7800000.00000000","7800000.00000000","7800000.00000000"
"Andina","Risaralda","Mistrató","2020","Municipio","MistratóRisaralda","Planeación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Tolima","Coello","2013","Municipio","CoelloTolima","Transporte","Sin Definir","0.00000000","0.00000000","8197024.00000000"
"Orinoquía","Arauca","Todo el Depto","2019","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","457619948.00000000","400000000.00000000","400000000.00000000"
"Andina","Tolima","Cajamarca","2021","Municipio","CajamarcaTolima","Cultura","SGP - Sistema General de Participaciones","59918318.00000000","59918318.00000000","59918318.00000000"
"Andina","Cundinamarca","Tena","2018","Municipio","TenaCundinamarca","Transporte","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Orinoquía","Arauca","Todo el Depto","2010","Entidades Presupuesto Nacional - PGN","Servicio Nacional de Aprendizaje - SENA - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","108815917.02000000","106279851.21000000","105426223.19000000"
"Andina","Cundinamarca","Bojacá","2013","Municipio","BojacáCundinamarca","Educación","SGR - Sistema General de Regalías","0.00000000","0.00000000","125000000.00000000"
"Andina","Cundinamarca","Pandi","2023","Municipio","PandiCundinamarca","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","1009212411.04000000"
"Andina","Antioquia","Mutatá","2024","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","203477108.57000000","117427633.12000000","117441061.36000000"
"Andina","Risaralda","Todo el Depto","2025","Departamento","Risaralda","Gobierno Territorial","Propios de las entidades territoriales","168343086.00000000","0.00000000","0.00000000"
"Orinoquía","Vichada","Todo el Depto","2023","Departamento","Vichada","Transporte","Propios de las entidades territoriales","888084650.00000000","887912050.00000000","887912050.00000000"
"Pacífico","Nariño","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","6294388668.99000000","6291549514.61000000","6285094690.98000000"
"Pacífico","Nariño","Los Andes","2021","Municipio","Los AndesNariño","Transporte","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Andina","Santander","Los Santos","2022","Municipio","Los SantosSantander","Cultura","SGP - Sistema General de Participaciones","250725073.00000000","250725073.00000000","250725073.00000000"
"Amazonas","Guainía","Todo el Depto","2016","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","26457864.00000000","26457252.00000000","25576916.00000000"
"Pacífico","Cauca","Todo el Depto","2010","Entidades Presupuesto Nacional - PGN","Ministerio Educacion Nacional - Educación","Educación","PGN - Presupuesto General de la Nación","125056989.00000000","125056989.00000000","35483871.00000000"
"Andina","Tolima","Prado","2023","Municipio","PradoTolima","Educación","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
"Pacífico","Cauca","Todo el Depto","2021","Entidades Presupuesto Nacional - PGN","Unidad Administrativa Especial de la Aeronautica Civil - Transporte","Transporte","PGN - Presupuesto General de la Nación","600000000.00000000","189652264.00000000","189652264.00000000"
"Caribe","Magdalena","Todo el Depto","2015","Entidades Presupuesto Nacional - PGN","Ministerio de las Culturas las Artes y los Saberes - Cultura","Cultura","PGN - Presupuesto General de la Nación","56568933.00000000","56568933.00000000","44207347.00000000"
"Andina","Boyacá","Paipa","2021","Municipio","PaipaBoyacá","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","179192864.00000000"
"Andina","Boyacá","Ciénega","2022","Municipio","CiénegaBoyacá","Transporte","SGP - Sistema General de Participaciones","0.00000000","0.00000000","44589312.58000000"
"Andina","Antioquia","Montebello","2023","Municipio","MontebelloAntioquia","Gobierno Territorial","SGR - Sistema General de Regalías","0.00000000","0.00000000","0.00000000"
"Orinoquía","Casanare","Hato Corozal","2024","Entidades Presupuesto Nacional - PGN","Instituto Nacional de Vias - Transporte","Transporte","PGN - Presupuesto General de la Nación","0.00000000","0.00000000","0.00000000"
"Orinoquía","Vichada","Todo el Depto","2024","Departamento","Vichada","Educación","Propios de las entidades territoriales","399960518.00000000","391478002.00000000","391478002.00000000"
"Orinoquía","Meta","Todo el Depto","2017","Departamento","Meta","Transporte","SGR - Sistema General de Regalías","0.00000000","0.00000000","34519480083.34000000"
"Pacífico","Nariño","Todo el Depto","2021","Entidades Presupuesto Nacional - PGN","Ministerio del Trabajo - Trabajo","Trabajo","PGN - Presupuesto General de la Nación","863672457.00000000","863672457.00000000","863672457.00000000"
"Andina","Cundinamarca","Sopó","2024","Municipio","SopóCundinamarca","Información Estadística","Propios de las entidades territoriales","0.00000000","0.00000000","0.00000000"
